aEndo	capEndo	vEndo	aSMC	vSMC	Per1	Per2	Fib1	Fib2	Fib3
DHRS3	0.615550891003454	0.403596625787762	0.644326770686598	0.501194906436626	0.32012104385331	0.321910725952667	0.0714759562813976	0.162776871885689	0.662276692318076	0.843436606107028
AADACL4	0	0	0	0	0	0	0.020994002837091	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0.00901312996575168
C1orf158	0	0	0	0	0	0.00381651230749043	0	0.0133257839176064	0	0
PRAMEF20	0	0	0	0	0.00359288342819864	0	0	0	0	0
LRRC38	0.0202427025131643	0.0119994720165502	0.00972325354492078	0.0501707518286354	0.0606944339559452	0.0151717341470456	0	0.0227208838301803	0.0131338898723484	0.0165519711078065
PDPN	0.0113547449102003	0.0170240735945555	0.00859820952641065	0.006252564373867	0.0385500046416525	0.0163286595928244	0.0352267864012798	0.767958795225829	0.172543962423094	0.183754733916341
PRDM2	0.860813170792196	0.933462600421424	0.88769895661485	0.59792989417348	0.789246934162848	0.841507650811382	0.791821893802829	0.990092815027232	0.751026939874144	0.814037469731634
KAZN	0.781260075255764	0.972588381369722	0.740417705600446	0.923729580277888	0.978250441204884	0.742235574625837	1.13564063662102	3.26726189286712	3.50984957117811	2.24855477695244
TMEM51	0.0824269633847236	0.467099166020714	0.191556586328716	0.877169401047893	0.479590786903621	0.535547523269732	0.560980520953325	0.373278904888372	1.07537834845803	0.87512932861397
C1orf195	0	0.0789654520966664	0.0514325414674194	0.122607004319672	0.0331024623467012	0.0764032521848712	0.0620431358314211	0.0681360567263992	0.145828451278173	0.166794572788897
FHAD1	0.038158111375758	0.0399628128736488	0.0213390706901336	0.161730593949029	0.0910649694475243	0.135850622927699	0.254549793765738	0.0949163748317661	0.225939683983732	0.0737702547811817
EFHD2	0.122472055260879	0.171414372163604	0.285657946053147	0.139152973157075	0.283121559374439	0.338735576591643	0.202959918642186	0.174456955484431	0.0789650895539577	0.275472838154098
CTRC	0	0.00947497187135424	0.00303008497902515	0	0.001556036926882	0.00521905816266954	0.0142100123053914	0	0	0.0433727237273412
CELA2A	0	0	0.00307957868414926	0	0.00469190198818233	0.0121412027217656	0	0	0	0
CELA2B	0.0189172224877791	0.00177645182793602	0.0205123432786235	0.00221311890198154	0.0210654000285734	0.0196328146386652	0.0737077437625868	0.0312549305819667	0.0536481702478667	0.279545590287103
CASP9	0.104805755050638	0.129277752593708	0.0466537755055135	0.181409061199442	0.132174768722378	0.112673850547849	0.176608397150826	0.175338827641668	0.309405337896306	0.60620472096366
DNAJC16	0.323108095813291	0.286826276282641	0.375595860706316	0.259282060712999	0.333300674568495	0.317609506346085	0.304200291447166	0.289669299915653	0.290916462777854	0.304365942021489
