gene	cluster
PTPRB	7
TIMP2	7
AHCTF1	7
FXYD5	7
ITGA3	7
CLU	7
TFPI	7
ITPR2	7
HLA-E	7
TNS1	7
BTG1	7
CD81	7
CDKN1A	7
IFITM3	7
TCIM	7
PIK3R3	7
ADAM15	7
TSC22D3	7
MPPED2	7
ZFP36	7
IQCN	7
RPLP1	7
KLRD1	7
ITM2B	7
B2M	7
FAM107A	7
ZFP36L2	7
LMO2	7
EFNA5	7
KLF4	7
SPARCL1	7
HLA-B	7
DUSP1	7
KLF6	7
FAM89A	7
PTMA	7
SERPINE2	7
VOPP1	7
PCDH1	7
TAGLN2	7
TMEM184B	7
PLLP	7
NFIX	7
GSN	7
CEBPB	7
EEF2K	7
BCAM	7
MKNK2	7
ALOX5	7
RPL8	7
SH3KBP1	7
EEF2	7
SOAT1	7
LRP6	7
DDIT4	7
RPS25	7
RNASE1	7
RPL19	7
RPL37A	7
SEMA6B	7
EFNA1	7
SH3BGRL3	7
STMN1	7
SRP14	7
SOCS3	7
SSFA2	7
RPS27	7
RPL36	7
MIB1	7
EHBP1L1	7
NOTCH1	7
RPSA	7
TNFSF10	7
PER3	7
KCNN3	7
MEG3	7
GNAS	7
IFITM2	7
NUCKS1	7
UBB	7
RPS12	7
CYBA	7
SYT11	7
GIPC2	7
RPS19	7
RPS11	7
RPL32	7
RPS14	7
GNB4	7
MT-CO1	7
LRRC32	7
HLA-DRA	7
RPL11	7
BST2	7
FAU	7
RPS28	7
RPL13	7
NPDC1	7
NOVA2	7
RPS2	7
SH3GLB1	7
RPL10	7
AZIN1	7
SELENOW	7
FTL	7
RPS15A	7
UBA52	7
ADGRA2	7
FOSL2	7
CCDC85B	7
ATP6V0E1	7
GAS6	7
FBXL20	7
CLEC2D	7
EEF1A1	7
ATXN3	7
PLEC	7
THBD	7
RPS3	7
JAG1	7
HINT1	7
TGM2	7
GABARAPL2	7
RPL28	7
STOM	7
HSD17B12	7
RPL6	7
SH3BP2	7
HSPG2	7
ESAM	7
LMNA	7
CALM1	7
ACVRL1	7
NES	7
RPL41	7
ANKRD36	7
CST3	7
TPT1	7
IER2	7
REEP5	7
RPL13A	7
RHOC	7
RPLP2	7
RPL15	7
CDK14	7
RPS24	7
GIMAP7	7
RABAC1	7
AGO3	7
CD63	7
TNS2	7
RPL29	7
HSP90AB1	7
RPS6	7
RPS16	7
RPS18	7
EIF1	7
BTG2	7
EGR1	7
RPL22	7
MT-ND4	7
TMSB4X	7
RPL35	7
TMEM245	7
COX4I1	7
SLC2A1	7
TXNIP	7
RPL21	7
LMCD1	7
RPL5	7
RPS23	7
GRASP	7
RPS27A	7
RPS8	7
RPL18	7
HNRNPA3	7
LRRC8A	7
PNRC1	7
TUBA1B	7
TUBB	7
PSAP	7
SERF2	7
RND3	7
HYAL2	7
GATA2	7
ZFP36L1	7
NNMT	7
IGFBP3	7
APOLD1	7
YWHAB	7
MT-CYB	7
RPL27A	7
LAMP1	7
TMBIM6	7
G3BP1	7
HLA-A	7
HNRNPU	7
HMGB1	7
PABPN1	7
MT-ND3	7
CFL1	7
MT-ATP6	7
DGKE	7
HSP90AA1	7
FOSB	7
ACTB	7
MT-CO2	7
MT1M	7
JUN	7
MT-CO3	7
PTGS2	7
TM4SF1	7
CD55	7
ITGA5	7
YBX3	7
CD93	7
DUSP5	7
TSPAN2	7
SH3BP5	7
PNP	7
PALLD	7
GRAMD1A	7
SRGN	7
DAP	7
ATF3	7
CCNL1	7
SRPX2	7
DUSP6	7
BHLHE40	7
INSIG1	7
RNF4	7
TM6SF1	7
HLA-DRB1	7
CAPRIN2	7
CEBPD	7
MSL3	7
CSRNP1	7
ECE1	7
DNAJA1	7
MCAM	7
FURIN	7
PROCR	7
DNAJC18	7
ARHGAP23	7
FLOT1	7
RPS9	7
F11R	7
MAT2A	7
RPLP0	7
RPL3	7
KCTD10	7
ACTG1	7
HSPA8	7
SLC20A1	7
CAPNS1	7
NFKBIA	7
ATP5F1E	7
CNDP2	7
FSTL1	7
EGFL7	7
CDC42	7
PTMS	7
UBA6	7
SOX7	7
TPM3	7
PECAM1	7
IRF1	7
CAVIN1	7
CX3CL1	7
CD320	7
ANXA1	7
SOCS2	7
FLNA	7
MCL1	7
CD59	7
KDM6B	7
BCAT2	7
SLC38A2	7
PHLDB1	7
ABHD17A	7
PLCB4	8
NUAK1	8
ELMO1	8
MECOM	8
BAZ2B	8
DOCK1	8
CALD1	8
CDH23	8
PELI2	8
EPAS1	8
AC010737.1	8
ANXA2	8
NFIA	8
TOX	8
LPP	8
AL365273.2	8
ADAMTS6	8
GMDS	8
PTPN12	8
VMP1	8
MPZL2	8
ARHGAP20	8
RNF144B	8
LYST	8
WARS	8
L3MBTL4	8
KCNT2	8
FKBP5	8
PDZRN3	8
PDLIM1	8
SCMH1	8
MIR4435-2HG	8
CDK17	8
WNK1	8
ALCAM	8
CPNE8	8
HSPA1A	8
TLE1	8
RELL1	8
UHRF2	8
LMCD1-AS1	8
RHOJ	8
CMIP	8
MYOF	8
ABCC4	8
TUSC3	8
VCAM1	8
CNTNAP3B	8
BACH2	8
PTPRJ	8
FNIP2	8
FNDC3B	8
PPP1CB	8
PDLIM5	8
SRGAP1	8
SNX9	8
CNTNAP3	8
RIMS2	8
